Product_ID,Country,Category,Item_Name,Price_Local,Currency,Technical_Specs,Internal_Notes
UK-A-0000,United Kingdom,Audio,Bluetooth Speaker,38.26,GBP,"20W, waterproof IPX7, 15h playback",Stock in WH3 Berlin | Promo margin 12% | EuroTech Suppliers
US-B-0001,United States,Home Appliances,Air Purifier Compact,106.87,USD,"HEPA H13, 3 speeds, 25m² coverage",VIP margin 25% | Africa Direct Trading | Warehouse A-12
GH-C-0002,Ghana,TV & Display,LED TV 55 inch,6008.51,GHS,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Warehouse A-12 | Global Sourcing Co | Target margin 18%
UK-D-0003,United Kingdom,Audio,Wireless Bluetooth Earbuds,27.26,GBP,"ANC, 24h battery, IPX5, USB-C",Global Sourcing Co | Target margin 18% | Fulfilled from NL depot
GE-E-0004,Germany,Audio,Bluetooth Speaker,43.24,EUR,"20W, waterproof IPX7, 15h playback",Margin 22% | Fulfilled from NL depot | Nordic Wholesale
US-F-0005,United States,Wearables,Smart Watch Sport,101.14,USD,"GPS, heart rate, 5ATM, 7-day battery",Stock in WH3 Berlin | Bulk discount applies 15% | Nordic Wholesale
CA-G-0006,Canada,Kitchen Appliances,Coffee Maker Drip,53.18,CAD,"12-cup, programmable, thermal carafe",Warehouse A-12 | Margin 22% | Nordic Wholesale
FR-H-0007,France,Wearables,Fitness Tracker Band,28.39,EUR,"Steps, sleep, HR, 14-day battery",Backorder until 02/15 | Bulk discount applies 15% | EuroTech Suppliers
UK-I-0008,United Kingdom,Wearables,Fitness Tracker Band,23.08,GBP,"Steps, sleep, HR, 14-day battery",Low stock alert | Pacific Imports Inc | Bulk discount applies 15%
GH-J-0009,Ghana,Wearables,Smart Watch Sport,1182.86,GHS,"GPS, heart rate, 5ATM, 7-day battery",Pacific Imports Inc | Backorder until 02/15 | Margin 22%
KE-K-0010,Kenya,Home Appliances,Air Purifier Compact,13269.0,KES,"HEPA H13, 3 speeds, 25m² coverage",Nordic Wholesale | Stock in WH3 Berlin | Bulk discount applies 15%
CD-L-0011,Côte d'Ivoire,Computing,"Tablet 10""",123393.65,XOF,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Low stock alert | Bulk discount applies 15% | Nordic Wholesale
GE-M-0012,Germany,Computing,Mechanical Keyboard,65.76,EUR,"Cherry MX, RGB, wired, UK layout",Fulfilled from NL depot | Promo margin 12% | Pacific Imports Inc
CD-N-0013,Côte d'Ivoire,Computing,Webcam HD Pro,37583.23,XOF,"1080p 60fps, built-in mic, auto-focus",Nordic Wholesale | Target margin 18% | Low stock alert
FR-O-0014,France,Solar & Power,Solar Inverter TS-9000-X,1234.95,EUR,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Fulfilled from NL depot | Africa Direct Trading | VIP margin 25%
UK-P-0015,United Kingdom,Power & Batteries,Portable Power Bank 20K,22.52,GBP,"20000mAh, dual USB, 18W PD",Fulfilled from NL depot | EuroTech Suppliers | Margin 22%
CD-Q-0016,Côte d'Ivoire,Home Appliances,Air Purifier Compact,57759.07,XOF,"HEPA H13, 3 speeds, 25m² coverage",Target margin 18% | Pacific Imports Inc | Backorder until 02/15
GE-R-0017,Germany,Audio,Bluetooth Speaker,47.02,EUR,"20W, waterproof IPX7, 15h playback",Warehouse A-12 | Bulk discount applies 15% | Nordic Wholesale
CA-S-0018,Canada,Home Appliances,Electric Fan Tower,75.75,CAD,"Oscillating, 3 speeds, remote, timer",Acme Electronics Ltd | Margin 22% | Low stock alert
NI-T-0019,Nigeria,Personal Care,Electric Toothbrush,68085.96,NGN,"Sonic, 3 modes, 2-week battery",Warehouse A-12 | Acme Electronics Ltd | VIP margin 25%
KE-U-0020,Kenya,Solar & Power,Solar Inverter TS-9000-X,175371.25,KES,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Nordic Wholesale | Warehouse A-12 | Bulk discount applies 15%
KE-V-0021,Kenya,Wearables,Fitness Tracker Band,3795.83,KES,"Steps, sleep, HR, 14-day battery",Margin 22% | Nordic Wholesale | Fulfilled from NL depot
KE-W-0022,Kenya,Computing,Webcam HD Pro,6869.27,KES,"1080p 60fps, built-in mic, auto-focus",Target margin 18% | Low stock alert | Africa Direct Trading
KE-X-0023,Kenya,Kitchen Appliances,Smart Kettle Pro,6156.98,KES,"1.7L, 3000W, boil-dry protection, LED display",VIP margin 25% | Warehouse A-12 | Acme Electronics Ltd
GE-Y-0024,Germany,TV & Display,LED TV 55 inch,428.44,EUR,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",EuroTech Suppliers | Fulfilled from NL depot | Promo margin 12%
NI-Z-0025,Nigeria,Personal Care,Electric Toothbrush,73209.73,NGN,"Sonic, 3 modes, 2-week battery",Margin 22% | Pacific Imports Inc | Low stock alert
FR-A-0026,France,Home Appliances,Air Purifier Compact,89.3,EUR,"HEPA H13, 3 speeds, 25m² coverage",Stock in WH3 Berlin | Global Sourcing Co | Target margin 18%
GH-B-0027,Ghana,Wearables,Smart Watch Sport,1136.01,GHS,"GPS, heart rate, 5ATM, 7-day battery",Warehouse A-12 | EuroTech Suppliers | Target margin 18%
FR-C-0028,France,Lighting,LED Desk Lamp,26.14,EUR,"Dimmable, USB port, 5 brightness levels",Low stock alert | Nordic Wholesale | Promo margin 12%
UK-D-0029,United Kingdom,Home Appliances,Electric Fan Tower,41.44,GBP,"Oscillating, 3 speeds, remote, timer",Promo margin 12% | Stock in WH3 Berlin | EuroTech Suppliers
GE-E-0030,Germany,Computing,"Tablet 10""",201.99,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Backorder until 02/15 | EuroTech Suppliers | Margin 22%
